time,date,x,y,z,r,latitude,longitude,anomaly
0.0228,Sat Jul 13 09:23:31 2019,-0.516799927,2.701873779,10.13092041,10.49774988,empty,empty,0
0.0718,Sat Jul 13 09:23:31 2019,-0.308639526,3.776260376,10.90141296,11.54106604,empty,empty,0
0.0778,Sat Jul 13 09:23:31 2019,-0.588592529,2.346542358,9.133117676,9.448097199,empty,empty,0
0.0998,Sat Jul 13 09:23:31 2019,-0.526382446,2.622909546,10.27090454,10.61358625,empty,empty,0
0.1238,Sat Jul 13 09:23:31 2019,0.20463562,1.883529663,10.22663879,10.40065867,empty,empty,0
0.1498,Sat Jul 13 09:23:31 2019,-0.692672729,2.795196533,9.191741943,9.632291478,empty,empty,0
0.1738,Sat Jul 13 09:23:31 2019,4.58E-05,2.72819519,9.154647827,9.552519345,empty,empty,0
0.1998,Sat Jul 13 09:23:32 2019,-0.419891357,2.018722534,10.38815308,10.59081082,empty,empty,0
0.2248,Sat Jul 13 09:23:32 2019,-0.650802612,3.148147583,7.427032471,8.092909771,empty,empty,0
0.2568,Sat Jul 13 09:23:32 2019,-0.437850952,2.085723877,9.159439087,9.404109843,empty,empty,0
0.2748,Sat Jul 13 09:23:32 2019,-0.477325439,2.006759644,9.306594849,9.532451496,empty,empty,0
0.2998,Sat Jul 13 09:23:32 2019,-0.61730957,2.845443726,8.990737915,9.450449162,empty,empty,0
0.3238,Sat Jul 13 09:23:32 2019,0.155578613,3.856414795,11.39074707,12.02685572,empty,empty,0
0.3498,Sat Jul 13 09:23:32 2019,-0.756088257,2.49609375,8.732315063,9.113477922,empty,empty,0
0.3748,Sat Jul 13 09:23:32 2019,-0.729766846,1.889511108,9.709777832,9.918800201,empty,empty,0
0.3998,Sat Jul 13 09:23:32 2019,-0.455795288,2.725814819,7.97857666,8.443666342,empty,empty,0
0.4248,Sat Jul 13 09:23:32 2019,-0.16506958,1.931396484,10.94447327,11.11481153,empty,empty,0
0.4498,Sat Jul 13 09:23:32 2019,-0.113616943,3.006958008,11.07489014,11.47640609,empty,empty,0
0.4758,Sat Jul 13 09:23:32 2019,-0.971450806,2.965087891,7.515563965,8.137515873,empty,empty,0
0.4998,Sat Jul 13 09:23:32 2019,-0.60295105,1.60597229,11.23042297,11.36068207,empty,empty,0
0.5248,Sat Jul 13 09:23:32 2019,-0.242828369,2.801177979,9.902404785,10.29384205,empty,empty,0
0.5498,Sat Jul 13 09:23:32 2019,-0.477325439,3.425704956,8.449966431,9.130455996,empty,empty,0
0.5748,Sat Jul 13 09:23:32 2019,-1.336349487,2.319030762,8.889038086,9.283250062,empty,empty,0
0.5998,Sat Jul 13 09:23:32 2019,-1.293273926,3.462799072,12.29164124,12.83541893,empty,empty,0
0.6248,Sat Jul 13 09:23:32 2019,-1.739532471,2.15032959,9.620056152,10.00976378,empty,empty,0
0.6498,Sat Jul 13 09:23:32 2019,-0.60774231,2.478149414,7.887649536,8.290089893,empty,empty,0
0.6748,Sat Jul 13 09:23:32 2019,-0.144729614,3.181640625,9.334106445,9.862521324,empty,empty,0
0.6998,Sat Jul 13 09:23:32 2019,-0.868545532,2.27116394,10.74227905,11.01404178,empty,empty,0
0.7198,Sat Jul 13 09:23:32 2019,-0.666351318,2.211349487,9.218063354,9.50298809,empty,empty,0
0.7448,Sat Jul 13 09:23:32 2019,-0.289489746,1.442062378,9.201309204,9.318124236,empty,empty,0
0.7668,Sat Jul 13 09:23:32 2019,-0.119598389,2.736572266,7.812271118,8.278569415,empty,empty,0
0.7898,Sat Jul 13 09:23:32 2019,0.790863037,3.917434692,11.00309753,11.70640484,empty,empty,0
0.8168,Sat Jul 13 09:23:32 2019,0.275222778,2.296295166,10.14527893,10.40554677,empty,empty,0
0.8458,Sat Jul 13 09:23:32 2019,-0.520401001,2.49609375,9.438201904,9.776551355,empty,empty,0
0.8598,Sat Jul 13 09:23:32 2019,-0.624481201,2.461395264,8.311172485,8.690456346,empty,empty,0
0.8838,Sat Jul 13 09:23:32 2019,-0.245223999,2.767684937,10.29722595,10.66550876,empty,empty,0
0.9058,Sat Jul 13 09:23:32 2019,-0.334945679,2.764099121,11.37757874,11.71331424,empty,empty,0
0.9328,Sat Jul 13 09:23:32 2019,-0.470153809,2.360900879,9.609283447,9.906221577,empty,empty,0
0.9548,Sat Jul 13 09:23:32 2019,-0.599365234,2.766479492,8.7837677,9.228608913,empty,empty,0
0.9798,Sat Jul 13 09:23:32 2019,-1.043228149,2.7162323,9.91557312,10.33367472,empty,empty,0
1.0048,Sat Jul 13 09:23:32 2019,-0.649612427,2.50088501,9.353256226,9.703598516,empty,empty,0
1.0318,Sat Jul 13 09:23:32 2019,0.568344116,2.633682251,10.77697754,11.10866968,empty,empty,0
1.0558,Sat Jul 13 09:23:32 2019,0.799240112,1.749542236,12.13850403,12.28995374,empty,empty,0
1.0818,Sat Jul 13 09:23:32 2019,-0.569442749,4.234481812,6.307189941,7.618119598,empty,empty,0
1.1058,Sat Jul 13 09:23:32 2019,-0.281112671,1.864395142,13.27987671,13.41305778,empty,empty,0
1.1318,Sat Jul 13 09:23:32 2019,0.004821777,2.072570801,9.380767822,9.6069963,empty,empty,0
1.1558,Sat Jul 13 09:23:32 2019,-0.50843811,3.85043335,7.111175537,8.102663995,empty,empty,0
1.1798,Sat Jul 13 09:23:32 2019,-1.439239502,1.493499756,10.21228027,10.42077829,empty,empty,0
1.2048,Sat Jul 13 09:23:33 2019,-1.241836548,2.615737915,9.153457642,9.600522363,empty,empty,0
1.2338,Sat Jul 13 09:23:33 2019,-1.353103638,3.300079346,7.296615601,8.121700091,30.37271918,120.1799976,0
1.2548,Sat Jul 13 09:23:33 2019,0.414001465,0.773269653,8.354248047,8.400166879,30.37271918,120.1799976,0
1.2828,Sat Jul 13 09:23:33 2019,0.189071655,1.556915283,7.275085449,7.442217518,30.37271918,120.1799976,0
1.3058,Sat Jul 13 09:23:33 2019,-0.096862793,1.095092773,10.54248047,10.59964646,30.37271918,120.1799976,0
1.3328,Sat Jul 13 09:23:33 2019,-0.163864136,4.128005981,11.56541443,12.28112763,30.37271918,120.1799976,0
1.3568,Sat Jul 13 09:23:33 2019,-0.843429565,1.022109985,8.195129395,8.301579852,30.37271918,120.1799976,0
1.3838,Sat Jul 13 09:23:33 2019,-0.775238037,1.996002197,9.824645996,10.05528158,30.37271918,120.1799976,0
1.4068,Sat Jul 13 09:23:33 2019,-0.541931152,1.958908081,8.393737793,8.636309651,30.37271918,120.1799976,0
1.4328,Sat Jul 13 09:23:33 2019,0.154373169,2.882537842,9.576980591,10.00257031,30.37271918,120.1799976,0
1.4558,Sat Jul 13 09:23:33 2019,-0.190185547,2.053421021,9.559036255,9.778950994,30.37271918,120.1799976,0
1.4758,Sat Jul 13 09:23:33 2019,-0.040634155,1.377456665,8.296829224,8.410494228,30.37271918,120.1799976,0
1.5018,Sat Jul 13 09:23:33 2019,0.028762817,2.042663574,10.57000732,10.7656099,30.37271918,120.1799976,0
1.5268,Sat Jul 13 09:23:33 2019,-0.543121338,1.205169678,8.701202393,8.80104186,30.37271918,120.1799976,0
1.5498,Sat Jul 13 09:23:33 2019,-0.112426758,2.7162323,9.831817627,10.20074485,30.37271918,120.1799976,0
1.5718,Sat Jul 13 09:23:33 2019,-0.12677002,2.028305054,8.232208252,8.479348131,30.37271918,120.1799976,0
1.5968,Sat Jul 13 09:23:33 2019,0.288375854,2.425506592,9.160629272,9.480684128,30.37271918,120.1799976,0
1.6218,Sat Jul 13 09:23:33 2019,-1.223892212,3.117034912,12.34069824,12.78697196,30.37271918,120.1799976,0
